Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Niland, Rachel; Flinn, Clodagh; Nearchou, Finiki; ",Assessing the role of school-based sex education in sexual health behaviours: a systematic review,Cogent Psychology,11,1,2309752,2024,Taylor & Francis
"Presley, Regina G; Cumberland, Denise M; Rose, Kevin; ",A comparison of cognitive and social presence in online graduate courses: Asynchronous vs. synchronous modalities,,,,,2023,OLC
"Ali, Radwan; Thomas, Dominic; ",Innovative 3D Printing Integration in IS Education: A Case Study of Experiential Learning,Journal of Information Technology Education: Innovations in Practice,23,1,,2024,Informing Science Institute
"Allamsetty, Srikanth; Chandra, MVSS; Panigrahi, Chinmoy Kumar; ",A novel social constructivist pedagogy to teach basic electrical engineering course to undergraduate students in online mode,The International Journal of Electrical Engineering & Education,,,0020720921999747,2021,"SAGE Publications Sage UK: London, England"
"Packard, Becky Wai-Ling; Solyst, Jaemarie; Pai, Anisha; Yu, Lu; ",Peer-designed active learning modules as a strategy to improve confidence and comprehension within introductory computer science,Journal of College Science Teaching,49,5,76-83,2020,Taylor & Francis
"Kelly, Alison E; Clinton-Lisell, Virginia; Klein, Kendall A; ",Enhancing College Students' Online Group Work Perceptions and Skills Using a Utility-Value Intervention.,Online Learning,26,3,236-258,2022,ERIC
"Grant, Derisa; ",“Or is that just your opinion?“: Incorporating faculty of color into the foundational literature on learner-centered classrooms—A review,Educational Research Review,39,,100512,2023,Elsevier
"Ma, Angela Kit Fong; ",Using technology for English-medium instruction: The use of livestreaming in the marketing classroom,Multilingual Education Yearbook 2023: Teaching with Technology in English-Medium Instruction Universities in Multilingual China,,,23-47,2023,Springer
"Packard, Becky Wai-Ling; Ng Wunt Sang, Hilary; ",Preparing for Identity-Related Tensions in Active Learning STEM Classrooms,Journal of College Science Teaching,,,1-8,2024,Taylor & Francis
"Tino, Concetta; ",AN INTEGRATIVE INTERPRETATION OF PERSONAL AND CONTEXTUAL FACTORS OF STUDENTS’RESISTANCE TO ACTIVE LEARNING AND TEACHING STRATEGIES,Andragoška spoznanja,2,26,59-74,2020,Andragoška spoznanja/Studies in Adult Education and Learning
"Bressan, Mariana Aparecida; Couto, Ana Thalita Santana; Zucchi, Fabíola Cristina Ribeiro; Baroneza, José Eduardo; ",Metodologias ativas no ensino de Saúde: devemos considerar o ponto de vista dos alunos?,Revista Docência do Ensino Superior,11,,1-20,2021,
"Niland, Rachel; Nearchou, Finiki; ",Assessing the effectiveness of school-based sex education in sexual health behaviours: A systematic review,,,,,2023,OSF
"Mbusi, Nokwanda; Luneta, Kakoma; ",Implementation of an intervention program to enhance student teachers’ active learning in transformation geometry,SAGE open,13,2,21582440231179440,2023,"SAGE Publications Sage CA: Los Angeles, CA"
"Richardson, Jeanita W; ",An active learning approach to teaching social determinants of health,Pedagogy in Health Promotion,6,4,266-273,2020,"SAGE Publications Sage CA: Los Angeles, CA"
"Mejia, Kenya; Turns, Jennifer A; Roldan, Wendy; ",Four Complications in Designing a Validated Survey to Gather Information on Student Reactions to Reflection Activities,2020 ASEE Virtual Annual Conference Content Access,,,,2020,
"Osgood, Libby; ",Unordinary: An evaluation of lecture-free activities using a repertory grid,International Journal of Mechanical Engineering Education,50,4,805-827,2022,"SAGE Publications Sage UK: London, England"
"Valverde, Juan Carlos; Romero-Zúñiga, Mariela; Vargas-Fonseca, Lupita; ",Contrastes en el proceso de aprendizaje en estudiantes de la carrera de Ingeniería Forestal,Uniciencia,36,1,670-686,2022,https://creativecommons. org/licenses/by-nc-nd/3.0/deed. es
"Delancey-Bolding, Gladys; ",Qualitative study: Active learning stem experiences of high school students and facilitators,,,,,2020,Capella University
"Crockett, Caroline; Finelli, Cynthia J; Demonbrun, Matt; Nguyen, Kevin A; Rosenberg, RS; ",Common characteristics of high-quality papers studying student response to active learning,International Journal of Engineering Education,37,2,420-432,2021,Tempus Publications
"Mullins, Duncan; Swenson, Jessica; Miel, Karen; ",Pre-Service Faculty Learning Processes and Teaching Approaches,2022 IEEE Frontiers in Education Conference (FIE),,,1-9,2022,IEEE
"Akintolu, Morakinyo; Mitwally, Mohamed Ahmed; Letseka, Moeketsi; ","South African Open Distance Elearning Student: The Types, Effectiveness, and Preference of Feedback Support",West African Journal of Open and Flexible Learning,12,2,89-112,2024,
"Valverde, Juan Carlos; Romero-Zúñiga, Mariela; Vargas-Fonseca, Lupita; ",Contrasts in the learning process among Forest Engineering students,Uniciencia,36,1,670-686,2022,https://creativecommons. org/licenses/by-nc-nd/3.0/deed. es
"Edvardsen, Even Elias; Dalseth, Eline Fjærestad; Johnson, Susanne Grødem; Stigen, Linda; Mørk, Gry; Magne, Trine A; Gramstad, Astrid; Småstuen, Milada Cvancarova; Bonsaksen, Tore; ",Occupational therapy students’ preferences for teaching and course design across a three-year undergraduate education program,Irish Journal of Occupational Therapy,50,1,51-57,2022,Emerald Publishing Limited
"Packard, Becky Wai-Ling; Hirst, Rachel A; ","Stem Student Success: Strategic Learning, Mentored Research, and Structural Change",How College Students Succeed,,,147-178,,Routledge
"McAllister, Katie AL; ",Beyond the Lecture: Interacting with Students and Shaping the Classroom Dynamic,,,,,2021,Rowman & Littlefield
"Tempero Culliver, Mashika; ",How a Black Female School Leader Navigates Structural Constraints to Foster Black Female Students’ Agency in an Alabama Black Belt Public School,,,,,2023,
"Sansom, Stephen A; Clary, Todd; Aslan, Carolyn; ",Active Learning Techniques to Enhance Conceptual Learning in Greek Mythology,Classical World,116,1,75-105,2022,Johns Hopkins University Press
"Nyberg, Bjorn; Keers, Henk; Næsheim, Sigrid; Vedå, Lisbeth; Weissmann, Gary; ",SEDucate: sedimentary log exercises for an active learning environment,,,,,2023,EarthArXiv
"Hammond, Emily; Mitchell, Jayden; Swenson, Jessica; ",Students utilization of discord messaging platform in an introduction to matlab course,2022 ASEE Annual Conference & Exposition,,,,2022,
"Culliver, Mashika Tempero; ",How a Black Female School Leader Navigates Structural Constraints to Foster Black Female Students Agency in an Alabama Black Belt Public School,,,,,2023,Auburn University
"Arif, Shehla; ",Designing an Engineering Computer Instructional Laboratory: Working with the Panopticon,2020 ASEE Virtual Annual Conference Content Access,,,,2020,
"Lang, Franziska K; ",Understanding Perceptions and Beliefs Biochemistry Instructors Hold and the Influence These Factors Have on Their Personal Style of Teaching,,,,,2018,Purdue University
"Moreira, Sandrina B; ",Accounting and finance students' perceptions about active learning in an economics-lecture classroom,Learning styles and strategies for management students,,,18-34,2020,IGI Global
"Wrights, Abbie P; ",An Exploratory Case Study of One Department’s Teaching Culture in Order to Promote Active Learning,,,,,2022,The University of North Carolina at Greensboro
"Júnior, Ed Wilson; Bolzan, Willian; ",Modelgame: Bridging the Gap between Gamification and Software Modeling Teaching a Quality Model for Objective Evaluation and Enhanced Learning Experiences,Available at SSRN 4655011,,,,,
"Tino, Concetta; ",Active Learning: resistenza di studenti e studentesse: strategie per ridurla,"Educational reflective practices: 1, 2019",,,194-210,2019,Franco Angeli
"Matthíasdóttir, Ásrún; Loftsson, Hrafn; ",Improving the Implementation of a First-Semester Programming Course,Proceedings of the 16th International CDIO Conference,,,,2020,
"Alazemi, Maha Saleh Salem; Bataineh, Ruba Fahmi; ",The Use of Active Teaching and Learning Strategies in the First Three Grades in the State of Kuwait as Perceived by EFL Teachers,,,,,,
"Woolfolk, Frances Ruth; ",Improving Accounting Education,,,,,2018,
"Reaugh, Stephen; ",Building Rapport: How Active Learning Strategies Create Inclusivity in the 1st-Year Classroom,Teaching Gradually,,,158-163,,Routledge
"Dossey, Brian S; ",Equitable Practices of the Mathematics Workshop Approach Instructional Model: A Quantitative Investigation of Urban High Schools Students’ Attitudes Towards Mathematics,,,,,2022,Baylor University
"Mahaffey-Dowd, Declan Thomas; Ciston, Shannon; Pour, Negar Beheshti; ",Work in Progress: Teamwork Skills Development in ChemE Car,2021 ASEE Virtual Annual Conference Content Access,,,,2021,
"McKenzie, Leria Joy; ",High School Teachers’ Best Practices for the Use of Formative Assessment Strategies,,,,,2021,Walden University
"Nethi, Vanaja; Ramunda, Kate; ",Active Learning in Practice: Integrating the Digital Mastering APA Style Student Workbook in a Canvas Course,,,,,2022,
"Parmentier, Jean-François; Vicens, Quentin; ","Enseigner et former-2e éd.: Psychologie appliquée et pédagogies actives, secondaire, supérieur, formation professionnelle",,,,,2022,Dunod
"Wanzer, Dana Linnell; ",Dealing With a Challenging Student: Strategies From the Team‐Based Learning Listserv.,National Teaching & Learning Forum,30,1,,2020,
"Nawafleh, Waleed H; Muheedat, Razan M; ",The Effect of Using Six Dimensional Strategy PDEODE in Teaching Science on the Basic Eighth Grade Students' Achievement and their Attitudes towards it,Journal of Educational and Psychological Studies [JEPS],14,3,417-436,2020,
"Antonucci, Franco; ","The Effect of Cooperative Learning Groups on the Learning, Collaboration, and Attitudes of Students in a High School Software Design Class",,,,,2020,Caldwell University
"Dunne, Sandra; ",The Perceptions of a Student Teacher on Implementing Active Learning with Junior Cycle Students,,,,,,
"Bernhard, Jonte; De Laet, Tinne; Edström, Kristina; ",Lessons learned in the doctoral symposium in engineering education research at SEFI 2020,Proceedings of the 48th Annual SEFI Conference,,,1475-1487,2020,SEFI
"Dubofsky-Porter, Elizabeth; ",An Interpretive Phenomenological Study of Adult Students’ Subjective Theories of Critical Thinking in Anatomy and Physiology,,,,,2020,Walden University
"Swain, Nikunja; Biswal, Biswajit; Kennedy, Eugene; ",Enhancing STEM retention and graduation rate by incorporating innovative teaching strategies in selected STEM introductory courses,,,,,2020,ASEE Conferences
"Learning, Facilitating Active; ",TEACHING STRATEGY 16,Innovative Strategies in Teaching Nursing: Exemplars of Optimal Learning Outcomes,,,107,2020,Springer Publishing Company
"Whitney, Kendra; ",A Quantitative Study on the Effect of Active Learning on High School Conceptual Physics Test Grades,,,,,2018,Northcentral University
"Wilcox, Matthew; Chini, Jacquelyn J; ",Selling the studio style to students: A qualitative study,,,,,2018,
"Valverde, Juan Carlos; Romero-Zúñiga, Mariela; Vargas-Fonseca, Lupita; ",Contrastes en el proceso de aprendizaje en estudiantes de la carrera de Ingeniería Forestal Contrasts in the learning process among Forest Engineering students Contrastes no processo de aprendizagem em estudantes da carreira de Engenharia Florestal,,,,,,
"Plomp, Sonja; ",DIDAKTISIA OPINTOJA TAMPEREEN YLIOPISTON KEMIAN OPETUKSEEN-KEHITTÄMISTUTKIMUS,,,,,,
"Alanís Tamez, Catalina; Valtier González, Marisa; Gaitán Alvarez, Luisa; ",Relación entre el aprendizaje y las técnicas de aprendizaje activo en estudiantes de instituciones de educación superior de México,,,,,2019,San Pedro Garza García: UDEM
"Roland, L; ",The impact on teacher efficacy during a STEM program implementation at a magnet school: A case study,,,,,2019,Carson-Newman University. https://www. cn. edu/libraries/tiny_mce/tiny_mce …
"Bettridge, Amy; Farnworth, Xanthe; McPherson, Michelle; Lawson, Kimberli; ","Review, Revise, and Resist: Improving the Writing Process Proposal for Roundtable Discussion ABC Western Region Conference, February 2023, Laie, Hawaii",,,,,,
"Flowers, Lawrence O; ",Dissemination Techniques for STEM Intervention Programs,,,,,,
"Owens, David C; Sadler, Troy D; Barlow, Angela T; Smith-Walters, Cindi; ",Student motivation from and resistance to active learning rooted in essential science practices,Research in Science Education,50,,253-277,2020,Springer
"Anwar, Saira; Menekse, Muhsin; ",A systematic review of observation protocols used in postsecondary STEM classrooms,Review of Education,9,1,81-120,2021,Wiley Online Library
"DeMonbrun, Matt; Finelli, Cynthia J; Prince, Michael; Borrego, Maura; Shekhar, Prateek; Henderson, Charles; Waters, Cindy; ",Creating an instrument to measure student response to instructional practices,Journal of Engineering Education,106,2,273-298,2017,Wiley Online Library
"Dȩbiec, Piotr; ",Effective learner-centered approach for teaching an introductory digital systems course,IEEE Transactions on Education,61,1,38-45,2017,IEEE
"Huang, Ying; ",Effectiveness of inquiry‐based science laboratories for improving teamwork and problem‐solving skills and attitudes,Journal of Research in Science Teaching,59,3,329-357,2022,Wiley Online Library
"Dillon, Heather; James, Carolyn; Prestholdt, Tara; Peterson, Valerie; Salomone, Stephanie; Anctil, Eric; ",Development of a formative peer observation protocol for STEM faculty reflection,Assessment & Evaluation in Higher Education,45,3,387-400,2020,Taylor & Francis
"Marbach-Ad, Gili; Hunt, Carly; Thompson, Katerina V; ",Exploring the values undergraduate students attribute to cross-disciplinary skills needed for the workplace: An analysis of five STEM disciplines,Journal of Science Education and Technology,28,,452-469,2019,Springer
"Dart, Sarah; Cunningham‐Nelson, Sam; Dawes, Les; ",Understanding student perceptions of worked example videos through the technology acceptance model,Computer Applications in Engineering Education,28,5,1278-1290,2020,Wiley Online Library
"Marbach-Ad, Gili; Rietschel, Carly H; Saluja, Neeti; Carleton, Karen L; Haag, Eric S; ",The use of group activities in introductory biology supports learning gains and uniquely benefits high-achieving students,Journal of microbiology & biology education,17,3,360-369,2016,Am Soc Microbiol
"Zhou, Shuqi; Merzdorf, Hillary E; Douglas, Kerrie A; Moore, Tamara J; ",Development and validation of an integrated STEM teacher classroom observation protocol,Journal of Pre-College Engineering Education Research (J-PEER),13,1,2,2023,Purdue University Press
"Marbach-Ad, Gili; Hunt Rietschel, Carly; ",A case study documenting the process by which biology instructors transition from teacher-centered to learner-centered teaching,CBE—Life Sciences Education,15,4,ar62,2016,Am Soc Cell Biol
"Patidar, Prasoon; Ngoon, Tricia J; Zimmerman, John; Ogan, Amy; Agarwal, Yuvraj; ",ClassID: Enabling Student Behavior Attribution from Ambient Classroom Sensing Systems,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",8,2,1-28,2024,"ACM New York, NY, USA"
"Shekhar, Prateek; Borrego, Maura; ",‘Not hard to sway’: A case study of student engagement in two large engineering classes,European Journal of Engineering Education,43,4,585-596,2018,Taylor & Francis
"Al-Moteri, Modi; ",Implementing active clinical training approach (ACTA) in clinical practice,Nurse Education in Practice,49,,102893,2020,Elsevier
"Gaffney, Jon DH; Gaffney, Amy L Housley; ",Student satisfaction in interactive engagement-based physics classes,Physical Review Physics Education Research,12,2,020125,2016,APS
"Nguyen, Kevin A; Borrego, Maura J; Finelli, Cynthia J; Shekhar, Prateek; DeMonbrun, Robert Matthew; Henderson, Charles; Prince, Michael J; Waters, Cindy; ",Measuring student response to instructional practices (StRIP) in traditional and active classrooms,2016 ASEE Annual Conference & Exposition,,,,2016,
"Zaher, Ashraf A; Hussain, G Amjad; ",STEAM-based active learning approach to selected topics in electrical/computer engineering,2020 IEEE Global Engineering Education Conference (EDUCON),,,1752-1757,2020,IEEE
"DeMonbrun, Robert Matthew; Finelli, Cynthia J; Shekhar, Prateek; ",Methods for establishing validity and reliability of observation protocols,2015 ASEE Annual Conference & Exposition,,,26.1149. 1-26.1149. 10,2015,
"Bispo Jr, Esdras L; Lopes, Rosemara P; Santos, Simone C; ",Peer instruction in computing higher education: a case study of a logic in computer science course in brazilian context,Revista Brasileira De Informática Na Educação,29,,1403-1432,2021,
"Mitchell, Douglas; Laurie, Emma W; Williams, Richard D; Fryirs, Kirstie A; Brierley, Gary J; Tolentino, Pamela LM; ",Developing an equitable agenda for international capacity strengthening courses: environmental pedagogies and knowledge co-production in the Philippines,Journal of Geography in Higher Education,48,2,281-311,2024,Taylor & Francis
"Ranieri, Maria; Raffaghelli, Juliana Elisa; Bruni, Isabella; ",Supporting Learning Design as a driver for pedagogical innovation within an integrated model of faculty development,Handbook of Research on Faculty Development for Digital Teaching and Learning,,,77-98,2019,IGI global
"Kibirige, Israel; Maake, Rebecca Mampageti; ","The effect of guided discovery instructional strategy on grade nine learners’ performance in chemical reactions in mankweng circuit, south africa",JOTSE: Journal of Technology and Science Education,11,2,569-580,2021,OmniaScience
"Esson, Joan; Wendel, Paul; Young, Anna; Frey, Meredith; Plank, Kathryn; ",Recent Developments in Classroom Observation Protocols for Undergraduate STEM: An Overview and Practical Guide,Journal of College Science Teaching,52,1,3-5,2022,Taylor & Francis
"Marbach-Ad, Gili; Rietschel, Carly; Thompson, Katerina V; ",Validation and application of the survey of teaching beliefs and practices for undergraduates (STEP-U): Identifying factors associated with valuing important workplace skills among biology students,CBE—Life Sciences Education,15,4,ar59,2016,Am Soc Cell Biol
"Persellin, Diane Cummings; Daniels, Mary Blythe; ",A concise guide to teaching with desirable difficulties,,,,,2023,Taylor & Francis
"Owens, David C; Barlow, Angela T; Smith-Walters, Cindi; ",Student motivation and resistance in active learning classrooms,Active Learning in College Science: The Case for Evidence-Based Practice,,,927-942,2020,Springer
"Rasmawan, Rahmat; ",Pengembangan Instrumen Microteaching Berdasarkan Pembelajaran Abad ke-21,Edukasi: Jurnal Pendidikan,19,1,31-45,2021,
"Hartman, Sara L; Hess, Michael E; Lowery, Charles L; Kennedy, Christopher; Mazid, Imran; McClain, Madison Paige; Mowrer, Cathy; Kennedy, Marcy Keifer; ",An examination of time allocation in early childhood teacher candidates’ clinical field placements,Action in Teacher Education,43,1,67-84,2021,Taylor & Francis
"Sever, Demet; ",University students’ resistance behaviors: sample of Anadolu University,Turkish Online Journal of Qualitative Inquiry,9,2,125-146,2018,Abdullah KUZU
"Sinha, Swapnil; Rieger, Kelsey; Knochel, A; Meisel, N; ",The impact of a mobile 3D printing and making platform on student awareness and engagement,IJEE International Journal of Engineering Education,36,4,,2020,
"Salomone, Stephanie; Dillon, Heather; Prestholdt, Tara; Peterson, Valerie; James, Carolyn; Anctil, Eric; ",Making teaching matter more: reflect at the University of Portland,Transforming institutions: Accelerating systemic change in higher education,,,,2020,Pressbooks
"AlZoubi, Dana; Kelley, Jameel; Jiang, Shan; Baran, Evrim; Karabulut, Aliye; Gilbert, Stephen; ",Designing the TEACHActive feedback dashboard: A human centered approach,,,,,2021,
"Evenhouse, David Allen; Kandakatla, Rohit R; Stites, Nick A; Patel, Nimit; Zadoks, Austin; Prebel, Taylor; de Freitas, Claudio Cesar Silva; Krousgrill, Charles Morton; Berger, Edward J; Rhoads, Jeffrey F; ","What does an in-class meeting entail? A characterization and assessment of instructor actions in an active, blended, and collaborative classroom",2017 ASEE Annual Conference & Exposition,,,,2017,
"Ayad, Tamer Hamdy; ",Tourism Graduates-Are They Employable?,Eurasian Journal of Educational Research (EJER),,101,,2022,
"Wheeler, Bradford D; ",Adopting Active Learning Classroom (ALC) Technology and Overcoming Barriers: A Faculty Development Intervention Model for Technology-Enhanced Learning Spaces,,,,,2018,
"Mandala, Mahender; Schunn, Christian; Dow, Steven; Goldberg, Mary; Pearlman, Jon; ","Uncovering the practices, challenges, and incentives for engineering design faculty",International journal of engineering education,34,4,1314-1324,2018,
"Shorish, Yasmeen; Reisner, Barbara A; ",Building Data and Information Literacy in the Undergraduate Chemistry Curriculum,Integrating Information Literacy into the Chemistry Curriculum,,,31-56,2016,ACS Publications
"Frabasilio, Angela M; ",Relationships between Middle School Students’ Adaptive Reasoning When Creating Learner-Generated Drawings and Partner Talk During Inquiry-Based Mathematical Tasks,,,,,2022,Utah State University
"Thornton, Kimberly; ",Early Childhood Education Trainers' Knowledge and Use of Andragogical Principles,,,,,2019,Walden University
"Sigaeva, Taisiya; Fiori, Cyrus JBM; Pino Alban, Maria J; Beauferris, Youssef; Stagg, Donovan; Di Martino, Elena S; ","“Hands-On, Minds-On, and Science-Up”: A Concept-Based Learning Laboratory With a Taste of Research Experience for an Undergraduate Biomedical Engineering Course",Journal of Biomechanical Engineering,142,11,111005,2020,American Society of Mechanical Engineers
"Surahman, Ence; Pratama, Ujang Nendra; ",Online Observation Protocol to Supervise Online Learning and Its Sample Report,7th International Conference on Education and Technology (ICET 2021),,,6-12,2021,Atlantis Press
"Gadkari, Shruti; Dulek, Jeni; ",An Exploration of Occupational Therapy Faculty Perceptions of Student Behaviors,Journal of Occupational Therapy Education,7,2,1,2023,"Encompass Digital Archive, Eastern Kentucky University"
"Fong, Morgan; Chen, Hongxuan; Butler, Liia; Herman, Geoffrey; ",Developing an Observation Protocol for Cooperative Learning,2022 ASEE Annual Conference & Exposition,,,,2022,
"Witchel, Harry J; Klein, Rudi; Sinnayah, Puspha; Rathner, Joseph; ",From Psychology Laboratory to Student Development: Untangling Momentary Engagement from Longer-Term Engagement in Bioscience Education,Technologies in Biomedical and Life Sciences Education: Approaches and Evidence of Efficacy for Learning,,,85-131,2022,Springer
"Clegg, John R; Diller, KR; ",Evolution of biomedical engineering students’ perceptions of problem solving and instruction strategies during a challenge-based instruction course,2018 ASEE Annual Conference & Exposition,,,,2018,
"La Place, Cecilia; Halkiyo, Jemal; Sheppard, Michael; Kellam, Nadia; Carberry, Adam; ",Cultivating an Additive Innovation Culture through the Communal Observations of New EXperiences in Teaching (CONEXT) Protocol,2021 IEEE Frontiers in Education Conference (FIE),,,1-5,2021,IEEE
"García Higuera, María del Carmen; Chávez Tellerias, Rocio; Alemán Juárez, Armando; Niembro García, Isabel Joaquína; ",Improving student retention and soft skills: faculty experiences on transitioning to active learning approaches on first-year engineering programs at Universidad Panamericana,,,,,2019,
"Muamba, Maurice Katamba; Frenay, Mariane; Mpoyi, Pierre Mukendi Wa; ",Observer les pratiques d'enseignement au supérieur: Adaptation et validation d'une grille d'observation des dimensions de l'enseignement en contexte congolais,e-JIREF,9,1,123-155,2023,
"Christensen, Darcie; Villanueva, Idalis; Benson, Sheree; ",Understanding First-Year Engineering Students’ Perceived Ideal Learning Environments,2018 World Engineering Education Forum-Global Engineering Deans Council (WEEF-GEDC),,,1-6,2018,IEEE
"Louhelainen, Janita; ",Luonnontieteiden opetuksen toteutuminen urheilulukioissa,,,,,2024,
"Ganago, Alexander; Kim, Hyunsoo Julian; Kotrba, Joshua Adam; Rasouli, Mohammad; ",Teaching Electrical Engineering to non-EE Majors in a Flipped or Blended Classroom,2016 ASEE Annual Conference & Exposition,,,,2016,
"Fiori, Cyrus JBM; Alban, Maria J Pino; Beauferris, Youssef; Stagg, Donovan; Di Martino, Elena S; ",Taisiya Sigaeva1,,,,,,
"Bispo Jr, Esdras Lins; Lopes, Rosemara Perpetua; ",Impacto do Uso da Peer Instruction no Ensino Superior de Lógica para Computação no Brasil,Simpósio Brasileiro de Educação em Computação (EDUCOMP),,,72-82,2021,SBC
"AlZoubi, Dana; Kelley, Jameel; Jiang, Shan; Baran, Evrim; Karabulut, Aliye; Gilbert, Stephen; ",Designing the TEACHActive feedback dashboard: A human centered approach,,,,,2021,
"Pirtouscheg, André Luís Ortiz; ",Análise de estratégias de ensino e aprendizagem aplicada a uma turma de alunos de engenharia de produção,,,,,2021,Universidade Estadual Paulista (Unesp)
"Syed, Sana M; ",Visualization of Quantitative and Qualitative Categorical Data in Engineering,,,,,2020,Saint Louis University
"Whitehead, Tonya; ",Work in Progress: Students Find Active Learning Beneficial in Intro Programming Course,2020 ASEE Virtual Annual Conference Content Access,,,,2020,
"OKONO, Elijah; AWUOR, Fredrick; ABENGA, Elizabeth; KIMELI, Victor; OTANGA, Sarah; ",Framework for Technology Enriched Active Class Learning of Physics in Secondary Schools in Kenya,2019 IST-Africa Week Conference (IST-Africa),,,1-8,2019,IEEE
"Clegg, John Robert; ",Modular engineering of multifunctional hydrogels for molecular recognition and precision medicine,,,,,2019,
"Sheppard, Michael S; Kellam, Nadia; Carberry, Adam R; ",Exploring pedagogical risk-taking of engineering faculty,2018 IEEE Frontiers in Education Conference (FIE),,,1-5,2018,IEEE
"Turns, Jennifer; Arif, Ahmer; Lovins, Terri; Chinh, Bonnie; Atman, Cynthia J; ",“It is helpful but having it due a week out might be too long”: How engineering students experience reflection activities,,,,,,
"Zhongli, Fu; Lin, Zihan; Zhao, Zhao; Wu, Tong; Jianing, Zhang; Zhang, Changfang; Zhang, Tianqi; Zhang, Huang; Xu, Yan; ",Assessing the Active Learning in Engineering Education Based on BOPPPS Model,2018 ASEE Annual Conference & Exposition,,,,2018,
"Hilpert, Jonathan C; Marchand, Gwen C; ",Complex systems research and evaluation in engineering education,Annual Conference & Exposition: final program and proceedings. American Society for Engineering Education,2017,,19206,2017,
"Flynn, Carli Denyse; Davidson, Cliff I; Dotger, Sharon; ",From assessment to intervention: Conceptual understanding of rate and accumulation processes,2016 ASEE Annual Conference & Exposition,,,,2016,
"Shekhar, Prateek; ",After the workshop: a study of engineering instructors’ post-workshop implementation of active learning in the classroom,,,,,2016,
"Rong, Yao; Leemann, Tobias; Nguyen, Thai-Trang; Fiedler, Lisa; Qian, Peizhu; Unhelkar, Vaibhav; Seidel, Tina; Kasneci, Gjergji; Kasneci, Enkelejda; ",Towards human-centered explainable ai: A survey of user studies for model explanations,IEEE transactions on pattern analysis and machine intelligence,46,4,2104-2122,2023,IEEE
"Cavanagh, Andrew J; Chen, Xinnian; Bathgate, Meghan; Frederick, Jennifer; Hanauer, David I; Graham, Mark J; ","Trust, growth mindset, and student commitment to active learning in a college science course",CBE—Life Sciences Education,17,1,ar10,2018,Am Soc Cell Biol
"Hood, S; Barrickman, N; Djerdjian, N; Farr, M; Magner, S; Roychowdhury, H; Gerrits, R; Lawford, H; Ott, B; Ross, K; ","“I like and prefer to work alone”: Social anxiety, academic self-efficacy, and students’ perceptions of active learning",CBE—Life Sciences Education,20,1,ar12,2021,Am Soc Cell Biol
"Goodman, Barbara E; Barker, Megan K; Cooke, James E; ",Best practices in active and student-centered learning in physiology classes,Advances in Physiology Education,42,3,417-423,2018,"American Physiological Society Bethesda, MD"
"Feola, S; Lewis, J_E; McAlpin, J_D; Prevost, L_B; Skvoretz, J; Stains, M; Couch, B_A; Earl, B; Ziker, J_P; Lane, A_K; ",STEM education institutional change projects: examining enacted approaches through the lens of the Four Categories of Change Strategies Model,International Journal of STEM Education,10,1,67,2023,Springer International Publishing Cham
"Hartikainen, Susanna; Pylväs, Laura; Nokelainen, Petri; ",Engineering students’ perceptions of teaching: teacher-created atmosphere and teaching procedures as triggers of student emotions,European Journal of Engineering Education,47,5,814-832,2022,Taylor & Francis
"Qian, Peizhu; Unhelkar, Vaibhav; ",Evaluating the role of interactivity on improving transparency in autonomous agents,Proceedings of the 21st International Conference on Autonomous Agents and Multiagent Systems,,,1083-1091,2022,
"Julius Fusic, S; Anandh, N; Anitha, D; Sugumari, T; Sri Vinodhini, H; ",Impact of implementing project‐based assignment (PBA) in CDIO framework for computer numerical control application course,Computer Applications in Engineering Education,30,5,1577-1590,2022,Wiley Online Library
"Martín-Alguacil, Nieves; Avedillo, Luis; ",Student-Centered Active Learning Improves Performance in Solving Higher-Level Cognitive Questions in Health Sciences Education,International Medical Education,3,3,346-362,2024,MDPI
"Gal, B; Sánchez, J; González-Soltero, R; Learte, A; Lesmes, M; ",La educación médica como necesidad para la formación de los futuros médicos,Educación médica,22,2,111-118,2021,Elsevier
"Srinivasan, Seshasai; Muhammad, Nasim; ",Implementation of a course in computational modeling of biological systems in an undergraduate engineering program,Int. J. Eng. Educ,36,3,857-864,2020,
"Gregory, Linda R; Ramjan, Lucie M; Villarosa, Amy R; Rojo, Jacqueline; Raymond, Debra; Salamonson, Yenna; ",Does self-efficacy for medication administration predict clinical skill performance in first-year nursing students? An inception-cohort study,Teaching and Learning in Nursing,17,1,77-83,2022,Elsevier
"Avsec, Stanislav; Jagiełło-Kowalczyk, Magdalena; ","Pre-service teachers’ attitudes towards technology, engagement in active learning, and creativity as predictors of ability to innovate",International Journal of Engineering Education,34,3,1049-1059,2018,
"Sarlin, Muhammad; Arsyad, Arfan; Haris, Ikhfan; ",Identifying key component of collaborative problem solving in teaching and learning process: The challenges ahead in preparing for 21st century skills,Journal of Higher Education Theory and Practice,22,5,207-214,2022,North American Business Press
"Quintero-Pena, Carlos; Qian, Peizhu; Fontenot, Nicole M; Chen, Hsin-Mei; Hamlin, Shannan K; Kavraki, Lydia E; Unhelkar, Vaibhav; ",Robotic Tutors for Nurse Training: Opportunities for HRI Researchers,2023 32nd IEEE International Conference on Robot and Human Interactive Communication (RO-MAN),,,220-225,2023,IEEE
